,Event,City,Stage,Query Date,Id,Username,Text,Date,Hashtags,Location
175,ne_bomb_cyclone,boston,before,2019-10-15,531160081791193090,SalemLitFest,Power houses in the room for afternoon sessions: @BrunoniaBarry @wendypolins @katherinebhowe @Thelostwitch,2014-11-08 19:03:26+00:00,,
176,ne_bomb_cyclone,boston,before,2019-10-15,530556602303414273,GemmuhhhXO,@amber_stepp and @Zeke_turecki would be such a power couple #beautifulpeople #Slednecks,2014-11-07 03:05:25+00:00,#beautifulpeople #Slednecks,
177,ne_bomb_cyclone,boston,before,2019-10-15,527254678711848960,GreentownLabs,"Winners of Clean Tech Open Northeast 2014 Finals are Drinkwell, Ecovent, Full Circle Feed & @GreentownLabs own @Sol_Power_LLC! #ctonegala",2014-10-29 00:24:45+00:00,#ctonegala,
178,ne_bomb_cyclone,boston,before,2019-10-15,522202349541289984,LIVlikelarry7,I always believe the good in people will over power the bad in the end &amp; I always will no matter how many times it fucks me over.,2014-10-15 01:48:36+00:00,,
179,ne_bomb_cyclone,boston,before,2019-10-15,520331808572182528,anaiscayes,"My fam posts things I now see as blatant misogynoir & when speak up, always oh here comes ""ms. black power womanist"" or other mocking joke",2014-10-09 21:55:45+00:00,,
180,ne_bomb_cyclone,boston,before,2019-10-15,518079743284232192,TheKyleHardy,Throwback to when I wore a black power shirt to my 99.99% white high school and thought it was just a shirt with a clenched fist on it,2014-10-03 16:46:50+00:00,,
181,ne_bomb_cyclone,boston,before,2019-10-15,516691683581636608,dgwbirch,#innotribe I give it a week before this kid is bought by Google or kidnapped by agents of a foreign power,2014-09-29 20:51:11+00:00,#innotribe,
182,ne_bomb_cyclone,boston,before,2019-10-15,511971906845954048,DaveKerpen,Get over yourself salespeople. The prospect has the power now. @bhalligan #INBOUND14,2014-09-16 20:16:29+00:00,#INBOUND14,
183,ne_bomb_cyclone,boston,before,2019-10-15,509535236208984064,samnurick,Lady power.,2014-09-10 02:54:01+00:00,,
184,ne_bomb_cyclone,boston,before,2019-10-15,509141179704025088,sendnetwork,"We cannot control what culture says against the Gospel, but we can control our confidence in its power when we share the Gospel.@plattdavid",2014-09-09 00:48:11+00:00,,
185,ne_bomb_cyclone,boston,before,2019-10-15,509120006706434049,sendnetwork,"""Cities are influence..."" @HarrisIII creatively shares the power of the church throughout history. #SNAexp",2014-09-08 23:24:03+00:00,#SNAexp,
186,ne_bomb_cyclone,boston,before,2019-10-15,503723250799480832,JustBSemple,"In all seriousness, shout to Common for using his celebrity to speak truth to power! That's honorable",2014-08-25 01:59:16+00:00,,
187,ne_bomb_cyclone,boston,before,2019-10-15,502838711898611712,james_lohan,My super power is being able to imagine the Instagram photo I'll upload before an event even happens. ,2014-08-22 15:24:25+00:00,,
188,ne_bomb_cyclone,boston,before,2019-10-15,502604534032924672,CoachKevinCarr,Great article on training for power by @tonygentilcore1 http://www.t-nation.com/training/how-to-train-for-power,2014-08-21 23:53:53+00:00,,
189,ne_bomb_cyclone,boston,before,2019-10-15,499549371076444160,DreezyMontana,"Tell me the ni a who made ""No Flex Zone"" don't look like Otto from Rocket Power.. ",2014-08-13 13:33:45+00:00,,
190,ne_bomb_cyclone,boston,before,2019-10-15,497687280371642371,HOLYCHILD,"Damn, feeling so inspired by the Rolling Stones interview of @katyperry. Girl power ",2014-08-08 10:14:28+00:00,,
191,ne_bomb_cyclone,boston,before,2019-10-15,497582647796064256,jimmy_adamson,The power lies with whoever cares less,2014-08-08 03:18:42+00:00,,
192,ne_bomb_cyclone,boston,before,2019-10-15,497005447866753025,kimtish,"Star Light Star bright, The first star I see tonight, I wish I may, I wish I might, Beware my power GREEN LATERN'S LIGHT",2014-08-06 13:05:07+00:00,,
193,ne_bomb_cyclone,boston,before,2019-10-15,493863166766379008,spazwaaf,"Police all over the city, debris everywhere, house destroyed, power lines down...and that was before the tornado hit Revere! #reveretornado",2014-07-28 20:58:49+00:00,#reveretornado,
194,ne_bomb_cyclone,boston,before,2019-10-15,492484054881927168,egoldstein93,"Tonight is the holy Laylat al-Qadr, the night of power. May it also be a night of justice, followed by a reign of peace #48kmarch",2014-07-25 01:38:43+00:00,#48kmarch,
195,ne_bomb_cyclone,boston,before,2019-10-15,490285460015816704,Lifeisgood,Thanks to michaelfranti for being such a huge supporter of out mission to spread the power of… http://instagram.com/p/qnJ4PiF3rL/,2014-07-19 00:02:17+00:00,,
196,ne_bomb_cyclone,boston,before,2019-10-15,489015848544501761,robgo,"Wow, 18% of @CRV investments have gone public. Congrats on the new fund! Amazing staying power",2014-07-15 11:57:18+00:00,,
197,ne_bomb_cyclone,boston,before,2019-10-15,485830967312285696,copumpkin,"Frustrating about power is how subtle it can be to those not subject to it. If your concept of it ends at ""tax men with guns"", look around.",2014-07-06 17:01:43+00:00,,
198,ne_bomb_cyclone,boston,before,2019-10-15,484755518318055424,DrRachelGeller,“@ShadowsWhiskers: Power napping ” synchronized napping,2014-07-03 17:48:16+00:00,,
199,ne_bomb_cyclone,boston,before,2019-10-15,482698835861733376,Joi,Waiting for flight to Dubai and just realized I forgot my MacBook power supply. orz,2014-06-28 01:35:45+00:00,,
200,ne_bomb_cyclone,boston,before,2019-10-15,481778359501086720,schmidtphi,Your worst deeds don't have to define you. Important TED talk by @ShakaSenghor shows the power of atonement. http://www.ted.com/talks/shaka_senghor_why_your_worst_deeds_don_t_define_you,2014-06-25 12:38:06+00:00,,
201,ne_bomb_cyclone,boston,before,2019-10-15,480868698606297088,GlobeBobRyan,More power to Portugal. We didn't finish. But what a great event.,2014-06-23 00:23:26+00:00,,
